"DateAndTime","OS_Corr360 (Bloomberg-3-corridor 302) Occupancy","",
"2016-10-05 23:12:07","1","",
"2016-10-05 23:13:52","1","",
"2016-10-05 23:15:46","1","",
"2016-10-05 23:17:51","0","",
"2016-10-05 23:19:55","1","",
"2016-10-05 23:22:00","0","",
"2016-10-05 23:28:37","1","",
"2016-10-05 23:30:41","1","",
"2016-10-05 23:32:47","0","",
"2016-10-05 23:33:28","1","",
"2016-10-05 23:35:34","0","",
"2016-10-05 23:37:27","1","",
"2016-10-05 23:39:14","1","",
"2016-10-05 23:40:21","1","",
"2016-10-05 23:41:57","1","",
"2016-10-05 23:44:03","0","",
"2016-10-05 23:46:16","1","",
"2016-10-05 23:48:09","1","",
"2016-10-05 23:49:23","1","",
"2016-10-05 23:51:10","1","",
"2016-10-05 23:53:16","0","",
