"DateAndTime","OS_Rm253 (Bloomberg-2 East-Study 253) Occupancy","",
"2016-10-05 20:15:47","1","",
"2016-10-05 20:16:55","1","",
"2016-10-05 20:18:02","1","",
"2016-10-05 20:19:10","1","",
"2016-10-05 20:20:18","1","",
"2016-10-05 20:21:25","1","",
"2016-10-05 20:22:33","1","",
"2016-10-05 20:23:41","1","",
"2016-10-05 20:24:51","1","",
"2016-10-05 20:25:58","1","",
"2016-10-05 20:27:06","1","",
"2016-10-05 20:28:14","1","",
"2016-10-05 20:29:27","1","",
"2016-10-05 20:30:34","1","",
"2016-10-05 20:31:43","1","",
"2016-10-05 20:32:50","1","",
"2016-10-05 20:33:58","1","",
"2016-10-05 20:35:09","1","",
"2016-10-05 20:36:17","1","",
"2016-10-05 20:37:24","1","",
"2016-10-05 20:38:32","1","",
"2016-10-05 20:39:40","1","",
"2016-10-05 20:40:47","1","",
"2016-10-05 20:41:56","1","",
"2016-10-05 20:43:04","1","",
"2016-10-05 20:44:15","1","",
"2016-10-05 20:45:23","1","",
"2016-10-05 20:46:32","1","",
"2016-10-05 20:47:40","1","",
"2016-10-05 20:48:47","1","",
"2016-10-05 20:49:56","1","",
"2016-10-05 20:51:03","1","",
"2016-10-05 20:52:11","1","",
"2016-10-05 20:53:19","1","",
"2016-10-05 20:54:27","1","",
"2016-10-05 20:55:34","1","",
"2016-10-05 20:56:42","1","",
"2016-10-05 20:57:50","1","",
"2016-10-05 20:58:57","1","",
"2016-10-05 21:00:05","1","",
"2016-10-05 21:01:12","1","",
"2016-10-05 21:02:29","1","",
"2016-10-05 21:04:36","1","",
"2016-10-05 21:06:51","0","",
"2016-10-05 21:11:07","1","",
"2016-10-05 21:13:22","0","",
"2016-10-05 21:25:45","0","",
"2016-10-05 21:38:08","0","",
"2016-10-05 21:50:31","0","",
"2016-10-05 21:55:35","1","",
"2016-10-05 21:56:42","1","",
"2016-10-05 21:58:19","1","",
"2016-10-05 21:59:55","1","",
"2016-10-05 22:01:24","1","",
"2016-10-05 22:02:32","1","",
"2016-10-05 22:04:37","1","",
"2016-10-05 22:05:56","1","",
"2016-10-05 22:07:03","1","",
