"DateAndTime","OS_Corr357 (Bloomberg-3-corridor 300E) Occupancy","",
"2016-08-30 13:35:36","1","",
"2016-08-30 13:37:40","0","",
"2016-08-30 13:37:50","1","",
"2016-08-30 13:38:52","1","",
"2016-08-30 13:40:57","0","",
"2016-08-30 13:41:18","1","",
"2016-08-30 13:42:56","1","",
"2016-08-30 13:44:53","1","",
"2016-08-30 13:46:00","1","",
"2016-08-30 13:48:05","0","",
"2016-08-30 13:48:13","1","",
"2016-08-30 13:50:17","0","",
"2016-08-30 13:51:08","1","",
"2016-08-30 13:52:42","1","",
"2016-08-30 13:53:46","1","",
"2016-08-30 13:55:34","1","",
"2016-08-30 13:56:39","1","",
"2016-08-30 13:58:24","1","",
"2016-08-30 14:00:28","0","",
"2016-08-30 14:02:12","1","",
"2016-08-30 14:03:15","1","",
"2016-08-30 14:05:04","1","",
"2016-08-30 14:06:40","1","",
"2016-08-30 14:07:48","1","",
"2016-08-30 14:09:52","0","",
"2016-08-30 14:13:02","1","",
"2016-08-30 14:15:06","0","",
"2016-08-30 14:18:25","1","",
"2016-08-30 14:20:29","0","",
"2016-08-30 14:20:42","1","",
"2016-08-30 14:21:56","1","",
"2016-08-30 14:23:43","1","",
"2016-08-30 14:25:12","1","",
"2016-08-30 14:27:16","0","",
"2016-08-30 14:27:23","1","",
"2016-08-30 14:29:28","0","",
"2016-08-30 14:30:57","1","",
"2016-08-30 14:33:01","0","",
"2016-08-30 14:37:54","1","",
"2016-08-30 14:38:58","1","",
"2016-08-30 14:41:02","0","",
"2016-08-30 14:42:14","1","",
"2016-08-30 14:43:54","1","",
"2016-08-30 14:45:58","0","",
"2016-08-30 14:47:40","1","",
"2016-08-30 14:48:42","1","",
"2016-08-30 14:50:46","0","",
"2016-08-30 15:01:54","1","",
"2016-08-30 15:03:58","0","",
"2016-08-30 15:08:54","1","",
"2016-08-30 15:10:58","0","",
"2016-08-30 15:15:39","1","",
"2016-08-30 15:17:14","1","",
"2016-08-30 15:19:18","0","",
"2016-08-30 15:30:41","0","",
"2016-08-30 15:30:55","1","",
"2016-08-30 15:32:59","0","",
"2016-08-30 15:42:36","1","",
"2016-08-30 15:44:40","0","",
"2016-08-30 15:45:36","1","",
"2016-08-30 15:47:40","0","",
"2016-08-30 15:50:05","1","",
"2016-08-30 15:52:09","0","",
"2016-08-30 15:52:16","1","",
"2016-08-30 15:54:21","0","",
"2016-08-30 15:54:43","1","",
"2016-08-30 15:56:47","0","",
"2016-08-30 16:08:09","0","",
"2016-08-30 16:12:30","1","",
"2016-08-30 16:14:34","0","",
"2016-08-30 16:17:44","1","",
"2016-08-30 16:18:49","1","",
"2016-08-30 16:20:53","0","",
"2016-08-30 16:32:16","0","",
"2016-08-30 16:34:58","1","",
"2016-08-30 16:37:02","0","",
"2016-08-30 16:48:25","0","",
"2016-08-30 16:59:19","1","",
"2016-08-30 17:01:22","0","",
"2016-08-30 17:12:45","0","",
"2016-08-30 17:24:08","0","",
"2016-08-30 17:35:30","0","",
"2016-08-30 17:46:53","0","",
"2016-08-30 17:58:16","0","",
"2016-08-30 18:09:38","0","",
"2016-08-30 18:21:01","0","",
"2016-08-30 18:32:24","0","",
"2016-08-30 18:43:46","0","",
"2016-08-30 18:53:36","1","",
"2016-08-30 18:54:47","1","",
"2016-08-30 18:56:17","1","",
"2016-08-30 18:57:20","1","",
"2016-08-30 18:58:29","1","",
"2016-08-30 19:00:33","0","",
"2016-08-30 19:03:10","1","",
"2016-08-30 19:05:14","0","",
"2016-08-30 19:06:10","1","",
"2016-08-30 19:07:46","1","",
"2016-08-30 19:08:57","1","",
"2016-08-30 19:11:01","0","",
"2016-08-30 19:16:49","1","",
"2016-08-30 19:18:53","0","",
"2016-08-30 19:20:15","1","",
"2016-08-30 19:22:19","0","",
"2016-08-30 19:22:22","1","",
"2016-08-30 19:24:27","0","",
"2016-08-30 19:25:03","1","",
"2016-08-30 19:27:08","0","",
"2016-08-30 19:29:45","1","",
"2016-08-30 19:31:49","0","",
"2016-08-30 19:37:15","1","",
"2016-08-30 19:39:19","0","",
"2016-08-30 19:44:21","1","",
"2016-08-30 19:45:41","1","",
"2016-08-30 19:47:46","0","",
