"DateAndTime","OS_Hall121 (Bloomberg-1 West-Hall 121) Occupancy","",
"2016-08-30 07:58:03","1","",
"2016-08-30 07:59:58","0","",
"2016-08-30 08:01:25","1","",
"2016-08-30 08:02:30","1","",
"2016-08-30 08:03:36","1","",
"2016-08-30 08:04:34","1","",
"2016-08-30 08:06:11","1","",
"2016-08-30 08:07:09","1","",
"2016-08-30 08:08:14","1","",
"2016-08-30 08:10:08","0","",
"2016-08-30 08:20:40","0","",
"2016-08-30 08:31:11","0","",
"2016-08-30 08:41:41","0","",
"2016-08-30 08:52:12","0","",
"2016-08-30 09:02:43","0","",
"2016-08-30 09:13:13","0","",
"2016-08-30 09:23:44","0","",
"2016-08-30 09:34:15","0","",
"2016-08-30 09:44:46","0","",
"2016-08-30 09:55:17","0","",
"2016-08-30 10:05:47","0","",
"2016-08-30 10:16:18","0","",
"2016-08-30 10:26:49","0","",
"2016-08-30 10:37:20","0","",
"2016-08-30 10:47:51","0","",
"2016-08-30 10:50:02","1","",
"2016-08-30 10:51:41","1","",
"2016-08-30 10:52:51","1","",
"2016-08-30 10:54:46","0","",
"2016-08-30 10:58:28","1","",
"2016-08-30 10:59:38","1","",
"2016-08-30 11:00:36","1","",
"2016-08-30 11:01:40","1","",
"2016-08-30 11:02:38","1","",
"2016-08-30 11:04:33","0","",
"2016-08-30 11:05:14","1","",
"2016-08-30 11:06:13","1","",
"2016-08-30 11:07:46","1","",
"2016-08-30 11:09:41","0","",
"2016-08-30 11:20:13","0","",
"2016-08-30 11:30:44","0","",
"2016-08-30 11:41:15","0","",
"2016-08-30 11:49:30","1","",
"2016-08-30 11:51:25","0","",
"2016-08-30 11:53:58","1","",
"2016-08-30 11:55:52","0","",
"2016-08-30 11:57:12","1","",
"2016-08-30 11:59:07","0","",
"2016-08-30 12:03:09","1","",
"2016-08-30 12:05:04","0","",
"2016-08-30 12:15:35","0","",
"2016-08-30 12:16:51","1","",
"2016-08-30 12:17:57","1","",
"2016-08-30 12:19:02","1","",
